性別,時間軸（年度次）,身長（90～200cm）,高等学校（17歳）
男,2019年度,～90（cm）,－
男,2019年度,91（cm）,－
男,2019年度,92（cm）,－
男,2019年度,93（cm）,－
男,2019年度,94（cm）,－
男,2019年度,95（cm）,－
男,2019年度,96（cm）,－
男,2019年度,97（cm）,－
男,2019年度,98（cm）,－
男,2019年度,99（cm）,－
男,2019年度,100（cm）,－
男,2019年度,101（cm）,－
男,2019年度,102（cm）,－
男,2019年度,103（cm）,－
男,2019年度,104（cm）,－
男,2019年度,105（cm）,－
男,2019年度,106（cm）,－
男,2019年度,107（cm）,－
男,2019年度,108（cm）,－
男,2019年度,109（cm）,－
男,2019年度,110（cm）,－
男,2019年度,111（cm）,－
男,2019年度,112（cm）,－
男,2019年度,113（cm）,－
男,2019年度,114（cm）,－
男,2019年度,115（cm）,－
男,2019年度,116（cm）,－
男,2019年度,117（cm）,－
男,2019年度,118（cm）,－
男,2019年度,119（cm）,－
男,2019年度,120（cm）,－
男,2019年度,121（cm）,－
男,2019年度,122（cm）,－
男,2019年度,123（cm）,－
男,2019年度,124（cm）,－
男,2019年度,125（cm）,－
男,2019年度,126（cm）,－
男,2019年度,127（cm）,－
男,2019年度,128（cm）,－
男,2019年度,129（cm）,－
男,2019年度,130（cm）,－
男,2019年度,131（cm）,－
男,2019年度,132（cm）,－
男,2019年度,133（cm）,－
男,2019年度,134（cm）,－
男,2019年度,135（cm）,－
男,2019年度,136（cm）,－
男,2019年度,137（cm）,－
男,2019年度,138（cm）,－
男,2019年度,139（cm）,－
男,2019年度,140（cm）,－
男,2019年度,141（cm）,－
男,2019年度,142（cm）,－
男,2019年度,143（cm）,－
男,2019年度,144（cm）,－
男,2019年度,145（cm）,－
男,2019年度,146（cm）,0.0
男,2019年度,147（cm）,0.1
男,2019年度,148（cm）,0.1
男,2019年度,149（cm）,0.2
男,2019年度,150（cm）,0.1
男,2019年度,151（cm）,0.4
男,2019年度,152（cm）,0.4
男,2019年度,153（cm）,0.8
男,2019年度,154（cm）,1.1
男,2019年度,155（cm）,1.4
男,2019年度,156（cm）,2.6
男,2019年度,157（cm）,4.7
男,2019年度,158（cm）,6.6
男,2019年度,159（cm）,9.5
男,2019年度,160（cm）,13.5
男,2019年度,161（cm）,16.9
男,2019年度,162（cm）,23.6
男,2019年度,163（cm）,28.4
男,2019年度,164（cm）,36.1
男,2019年度,165（cm）,44.1
男,2019年度,166（cm）,47.8
男,2019年度,167（cm）,58.2
男,2019年度,168（cm）,62.9
男,2019年度,169（cm）,63.2
男,2019年度,170（cm）,72.6
男,2019年度,171（cm）,67.0
男,2019年度,172（cm）,66.1
男,2019年度,173（cm）,65.6
男,2019年度,174（cm）,57.5
男,2019年度,175（cm）,51.0
男,2019年度,176（cm）,44.4
男,2019年度,177（cm）,34.0
男,2019年度,178（cm）,29.0
男,2019年度,179（cm）,22.4
男,2019年度,180（cm）,19.9
男,2019年度,181（cm）,12.9
男,2019年度,182（cm）,11.5
男,2019年度,183（cm）,8.6
男,2019年度,184（cm）,4.5
男,2019年度,185（cm）,3.5
男,2019年度,186（cm）,1.9
男,2019年度,187（cm）,1.8
男,2019年度,188（cm）,1.3
男,2019年度,189（cm）,0.8
男,2019年度,190（cm）,0.3
男,2019年度,191（cm）,0.3
男,2019年度,192（cm）,0.2
男,2019年度,193（cm）,0.2
男,2019年度,194（cm）,0.1
男,2019年度,195（cm）,－
男,2019年度,196（cm）,0.0
男,2019年度,197（cm）,－
男,2019年度,198（cm）,－
男,2019年度,199（cm）,－
男,2019年度,200（cm）～,－
男,2018年度,計,1000.0
男,2018年度,～90（cm）,－
男,2018年度,91（cm）,－
男,2018年度,92（cm）,－
男,2018年度,93（cm）,－
男,2018年度,94（cm）,－
男,2018年度,95（cm）,－
